id,text,is_human,topic,style,min_length,max_length,language,additional_instruction
fbab4a8ad2d14aa1b9cbf570456abba7,"В современном IT-пространстве нарастают взаимосвязи между квантовыми вычислениями, Web3 и метавселенными, в то время как блокчейн приобретает новые применения за пределами цифровых валют. Благодаря сверхпараллельным алгоритмам квантовые компьютеры обещают ускорить сложные вычисления и оптимизацию сетей. Web3 предлагает децентрализованные протоколы для идентификации и хранения данных, сохраняя конфиденциальность и повышая безопасность. Метавселенные расширяют возможности образования и развлечений, предлагая интерактивные пространства со смарт-контрактами и токенизацией. Кроме того, блокчейн востребован в логистике и медицинском документообороте благодаря прозрачности и защищённости записей.",0,"Quantum computing, Web3, Metaverse, blockchain applications beyond crypto",Article,250,800,russian,Additional instructions: Write text in a human-like manner to bypass AI detection checks
7705ad858bdd4641b39c3ab055c0bef4,Забудьте про скучные рецепты: я сегодня расскажу как приготовить лазанью из кабачков а точнее — из ботвы! Купили молоко? Заменяйте на айран — никто не заметит… Если нет пармезана берём обычный плавленный сыр который табами измельчите в блендере… Планируете ужин? Сделайте заранее чек-лист из 50 пунктов: 48 пунктов запасных ингредиентов и 2 пункта — просто купи пиццу. Приятного!,0,"Specific recipes, cooking techniques, ingredient substitutions, meal planning",Humorous/Satirical,250,800,russian,Additional instructions: Make some natural grammatical or punctuation mistakes
86e2a5fcc8bb4a6db5e666b0cbede2de,Вкусный обед: запеченные баклажаны с помидорами и чесноком. Вместо оливкового масла можно взять подсолнечное... Meal planning: составлю меню на неделю и заменю мясо тофу. Техника - предварительно солим кабачки чтоб не горчили Ням.,0,"Specific recipes, cooking techniques, ingredient substitutions, meal planning",Article,80,250,russian,Additional instructions: Make some natural grammatical or punctuation mistakes
88effd419f664fbfb85fad47600791c9,"По данным экспертов, для сильного тезиса в эссе важно сразу обозначить проблему и точку зрения автора, сформулировать предложение четко, конкретно и убедительно.",0,How to write a strong thesis statement for an essay,News,80,250,russian,Additional instructions: Write text in a human-like manner to bypass AI detection checks
e9ae41f43b85428e8a163d6464beb36d,"В последнее время университеты по всей стране фиксируют рост уровня стресса среди студентов. Согласно данным национального центра студенческого благополучия, более 70% обучающихся испытывают постоянное напряжение из-за высокой учебной нагрузки и неопределённости с профессиональным будущим. По словам заведующей кафедрой психологии Московского государственного университета Елены Ивановой, регулярный стресс влияет не только на успеваемость, но и на физическое здоровье молодёжи. Исследование Международной ассоциации студенческого благополучия выявило ключевые факторы психологического давления: перегрузка программой, финансовые затруднения и социальная изоляция. В качестве эффективных мер специалисты рекомендуют внедрение практик осознанности и техники глубокого дыхания, а также регулярные занятия спортом. Некоторые вузы уже открыли специализированные «тихие зоны» для отдыха, а также расширили штат психологов и организовали бесплатные консультации. Студенты, участвовавшие в пилотных проектах, отмечают снижение уровня тревожности на 30% за два месяца. Администрации вузов призывают обратить внимание на раннее выявление симптомов эмоционального выгорания и формирование поддержки в студенческих сообществах. Эксперты уверены, что комплексный подход поможет снизить риски депрессии и повысить общую удовлетворённость жизнью среди молодёжи.",0,Managing stress and maintaining mental well-being in college,News Reportorial,800,1500,russian,Additional instructions: Write text in a human-like manner to bypass AI detection checks
b60c75321f734cf595d0e681ed30b44b,"В свежем культурном обзоре эксперты напоминают о зарождении джаза в Новом Орлеане начала XX века. Пионеры жанра – Луи Армстронг и Джелли Ролл Мортон – задали ритм новой музыкальной революции. В 1930–40-х годах эпоху свинга возглавили Дюк Эллингтон и Бенни Гудман. Бибоп, представленный Чарли Паркером и Диззи Гиллеспи, открыл путь к интеллектуальному джазу, а в 1950–60-х Майлз Дэвис и Джон Колтрейн расширили границы музыки. По мнению специалистов, наследие джаза продолжает влиять на современные направления и объединять слушателей по всему миру.",0,The history of jazz music and its key figures,News Reportorial,250,800,russian,
9fdc8560607a434ea09728218f6c95f6,"В шумных волнах экранов, где лайков мерцанье нежно манит,
Мы ищем отражение душ, среди ярких вспышек виртуальных сюжетов.
Сердца учащихся бьются в такт уведомлений, забывая дыханье,
В лабиринтах прокрутки теряется поток мыслей, рассыпаясь на фразы.

Взгляд устремлён к бесконечным лентам, где радость и грусть смешались,
Как осенний лист в ветре новостей, ловящий мгновение забытое.
С каждой новой историей тонет концентрация, исчезает покой,
И тревога, словно тихий шёпот, крадётся в глубь сознания.

Но в тишине ночного часа, когда экран погасает, приходит осознание:
Сила внутри нас, отражённая в зеркале мыслей, ждёт пробужденья.
Пусть дистанция между сердцем и экраном сузит дымка сомнений,
Позвольте себе жить моментом, в нём застынет искра ясных целей.

Ведь истинный свет приходит изнутри, в тишине отзвуки находят смысл,
И студенческая душа возродится в гармонии, свободная от стресса.",0,The impact of social media on student mental health and focus,Poetic/Lyrical,800,1500,russian,Additional instructions: Write text in a human-like manner to bypass AI detection checks
c65fb1ff52a74ada95df68f04bf8408c,"В техническом аспекте устойчивый туризм сталкивается с проблемами интеграции экологических требований в инфраструктуру. Требуются алгоритмы управления потоками туристов и ресурсами,, эффективные системы мониторинга экосистем без нарушения природных циклов. Экономические модели должны учитывать долгосрочные инвестиции и климатические риски что требует сложного моделирования.Социальный компонент осложняет стандартизацию: местные сообщества нуждаются в вовлечении но часто остаются вне процесса.",0,The challenges of sustainable tourism,Technical,250,800,russian,Additional instructions: Make some natural grammatical or punctuation mistakes
ec7a3aad0bed47c38687f1d7a7789498,"В современном мире управление временем становится одной из ключевых задач для каждого, кто стремится к эффективности и гармонии. Одна из простых техник — правило «2 минуты»: если задача занимает меньше двух минут, сделай её сразу, тогда мелкие дела не накапливаются и не создают хаос. Ещё стоит попробовать метод «Помидора» или «Pomodoro»: работаешь 25 минут, потом делаешь 5 минут перерыв. Такой ритм позволяет сохранить концентрацию и не перегружать мозг. Но главное — определить свои «золотые часы», когда вы наиболее продуктивны. Кому-то легче работать утром, другие же лучше проявляют себя поздно вечером, и это нормально, просто подстраивайтесь под свои биоритмы. Не забывайте о списке дел: он должен быть реалистичным и разбитым на подзадачи, иначе беготня по пунктам может вымотать не меньше самой работы. Попробуйте технику «Два списка»: первый — основные приоритеты на сегодня, второй — всё остальное. Если вы не успеваете пункты второго, не расстраивайтесь — они не так важны. Многие забывают об отдыхе и микропаузы, а именно они помогают мозгу «перезагрузится», снизить стресс и исключить прокрастинацию. В этом помогут короткие прогулки, растяжка, легкая гимнастика прямо за столом. Ещё один способ — ограничить внешние отвлечения: отключите ненужные уведомления, используйте приложения-блокировщики соцсетей или просто поставьте телефон в беззвучный режим. Хоть это кажется очевидным но многие постоянно реагируют на каждое «дзынь», и таким образом распыляют внимание. Наконец, важно периодически анализировать свой прогресс: что получилось, а что нет, какие техники лучше работают именно для вас и что можно улучшить. Пусть система управления временем становится вашим надежным помощником, а не еще одним источником стресса и списка нерешенных дел.",0,"Time management techniques, focus strategies",Descriptive,800,1500,russian,Additional instructions: Make some natural grammatical or punctuation mistakes
ca9185f8b0694bc588dc7c432c9ca310,"Домашнее задание часто воспринимается как рутинная обязанность, однако за ним скрывается масса возможностей для глубокого освоения материала и развития навыков самообучения. Чтобы понять новую тему, стоит начать с разбиения сложных понятий на более простые элементы. Например, при изучении физического закона сначала сформулируйте его в лоб, затем разберите каждое ключевое слово: что означает «масса», «ускорение», «сила». Запишите собственными словами определение, приведите аналогию из повседневной жизни: представьте, что вы разгоняете тележку на склоне или катите мяч по полу. Такой подход поможет «привязать» абстрактные формулы к реальным образам и запомнить их надолго.

Для эффективного изучения математики или языков хорошо использовать стратегию активного вспоминания. После прочтения темы закройте учебник и постарайтесь воссоздать ключевые формулы или правила на чистом листе. Если что-то забыли, вернитесь к материалу, снова перечитайте и повторите упражнение. Повторение с интервалом, или спейсд-репетишн, особенно полезно: создавайте расписание пересмотра пройденного через день, неделю, месяц.

Не менее важно структурировать рабочее пространство: держите под рукой только нужные канцелярские принадлежности и справочные материалы, уберите телефон в беззвучный режим или оставьте в другой комнате. Ведите аккуратные конспекты, выделяйте основные идеи цветными маркерами или подчеркиванием. При подготовке к контрольным или зачетам полезно составлять чек-листы тем и подтем: так вы будете четко видеть свои пробелы.

Когда усвоить что-то сложно, объединитесь с одноклассниками или однокурсниками в небольшую группу. Совместная работа помогает обмениваться разными точками зрения и находить более ясные объяснения. Один из участников может рассказать тему «своими словами», другой – предложить наглядную схему или график, а третий – придумать практическое задание или вопрос для самопроверки.

Наконец, не забывайте об отдыхе и здоровом режиме: мозгу нужны перерывы, физическая активность и качественный сон, чтобы эффективно обрабатывать и сохранять новую информацию. Организовав своё время и выбрав подходящие стратегии, вы превратите выполнение домашних заданий из утомительной обязанности в увлекательный процесс достижения целей и личностного роста.",0,"Explaining homework concepts, help with study strategies",Descriptive,800,1500,russian,
